Date,PM10,PM2.5,SO2,NO2,CO,O3,Pb,AQI,Air QLTY,Station ID,Station Name
25-02-2015,53,,4,9,,,,,,10,Codli
27-02-2015,60,,4,10,,,,,,10,Codli
04-03-2015,67,,4,9,,,,,,10,Codli
07-03-2015,76,,4,9,,,,,,10,Codli
11-03-2015,73,,5,9,,,,,,10,Codli
13-03-2015,56,,4,9,,,,,,10,Codli
18-03-2015,64,,4,10,,,,,,10,Codli
20-03-2015,57,,4,9,,,,,,10,Codli
25-03-2015,44,,4,9,,,,,,10,Codli
27-03-2015,48,,4,9,,,,,,10,Codli
01-04-2015,49,,4,9,,,,,,10,Codli
03-04-2015,35,,4,8,,,,,,10,Codli
08-04-2015,72,,5,9,,,,,,10,Codli
10-04-2015,74,,5,9,,,,,,10,Codli
15-04-2015,77,,5,10,,,,,,10,Codli
